month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
7,94.8,222.4,698.6,13.9,23.9,38.0,6.7,0.0,0.0
8,93.5,149.3,728.6,8.1,25.3,36.0,3.6,0.0,0.0
8,89.7,287.2,849.3,6.8,19.4,45.0,3.6,0.0,0.0
7,95.1,141.3,605.8,17.7,24.1,43.0,6.3,0.0,1.0
8,93.3,141.2,713.9,13.9,18.6,49.0,3.6,0.0,1.0
8,92.5,88.0,698.6,7.1,20.3,45.0,3.1,0.0,0.0
8,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,1.0
9,92.6,46.5,691.8,8.8,20.6,24.0,5.4,0.0,0.0
8,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
8,92.8,119.0,783.5,7.5,21.6,27.0,2.2,0.0,0.0
7,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0.0,0.0
7,93.7,231.1,715.1,8.4,26.9,31.0,3.6,0.0,1.0
8,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0,0.0
7,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.0
8,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,1.0
0,74.08434830450994,1.1,171.4,0.0,5.2,93.24060887867675,0.9,0.0,0.0
1,84.6,3.2,43.6,3.3,8.2,53.0,9.392559350228172,0.0,1.0
3,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,1.0
8,91.2,124.4,795.3,8.5,17.1,41.0,2.2,0.0,1.0
8,92.2,102.3,751.5,8.4,19.7,35.0,1.8,0.0,0.0
8,92.9,133.3,699.6,9.2,24.3,25.0,4.0,0.0,1.0
8,91.1,132.3,812.1,12.5,16.4,27.0,3.6,0.0,0.0
8,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0,0.0
8,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,1.0
7,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0,1.0
6,94.6,160.0,567.2,16.7,17.9,48.0,2.7,0.0,0.0
3,91.0,14.6,25.6,12.3,17.6,27.0,5.8,0.0,0.0
6,92.3,92.1,442.1,9.8,22.8,27.0,4.5,0.0,1.0
7,94.8,222.4,698.6,13.9,26.2,34.0,5.8,0.0,0.0
6,89.2,103.9,431.6,6.4,22.6,57.0,4.9,0.0,1.0
7,91.4,142.4,601.4,10.6,19.5,39.0,6.3,0.0,0.0
2,91.2,48.3,97.8,12.5,14.6,26.0,9.392559350228172,0.0,1.0
4,85.1,28.0,113.8,3.5,11.3,93.24060887867675,4.9,0.0,0.0
11,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
7,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,1.0
7,95.1,141.3,605.8,17.7,20.6,58.0,1.3,0.0,0.0
3,91.0,14.6,25.6,12.3,13.7,33.0,9.392559350228172,0.0,1.0
6,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,1.0
8,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,0.0
7,91.6,181.3,613.0,7.6,19.3,61.0,4.9,0.0,0.0
7,94.8,227.0,706.7,12.0,25.0,36.0,4.0,0.0,0.0
8,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0
1,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0
2,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,0.0
8,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0,0.0
7,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0,1.0
7,81.6,56.7,665.6,1.9,21.9,71.0,5.8,0.0,1.0
7,91.7,191.4,635.9,7.8,26.2,36.0,4.5,0.0,1.0
7,95.5,99.9,513.3,13.2,23.8,32.0,5.4,0.0,1.0
8,92.5,88.0,698.6,7.1,17.8,51.0,7.2,0.0,0.0
7,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0,1.0
9,90.6,35.4,669.1,6.7,21.7,24.0,4.5,0.0,0.0
7,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0.0,1.0
6,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0,1.0
6,90.8,84.7,376.6,5.6,23.8,51.0,1.8,0.0,0.0
5,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0
2,89.3,51.3,102.2,9.6,5.5,59.0,6.3,0.0,0.0
7,92.2,91.6,503.6,9.6,20.7,70.0,2.2,0.0,1.0
7,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0,1.0
7,85.6,90.4,609.6,6.6,17.4,50.0,4.0,0.0,1.0
8,92.4,96.2,739.4,8.6,18.6,24.0,5.8,0.0,0.0
7,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,1.0
2,88.1,25.7,67.6,3.8,15.8,27.0,7.6,0.0,0.0
8,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0,1.0
7,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
5,93.7,121.7,350.2,18.0,22.7,40.0,9.392559350228172,0.0,1.0
2,91.7,35.8,80.8,7.8,11.6,30.0,6.3,0.0,0.0
7,95.0,135.5,596.3,21.3,30.6,28.0,3.6,0.0,1.0
8,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0
7,95.9,158.0,633.6,11.3,32.4,27.0,2.2,0.0,0.0
8,92.9,137.0,706.4,9.2,27.7,24.0,2.2,0.0,0.0
8,92.4,124.1,680.7,8.5,23.9,32.0,6.7,0.0,1.0
6,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,1.0
7,92.1,207.0,672.6,8.2,26.8,35.0,1.3,0.0,1.0
8,90.3,290.0,855.3,7.4,19.9,44.0,3.1,0.0,1.0
8,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0,0.0
7,90.2,99.6,631.2,6.3,21.4,33.0,3.1,0.0,0.0
7,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,1.0
7,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0.0,1.0
7,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
7,91.0,166.9,752.6,7.1,18.5,73.0,8.5,0.0,0.0
5,94.3,96.3,200.0,22.700094968588164,21.0,44.0,4.5,0.0,0.0
7,89.4,266.2,803.3,5.6,17.4,54.0,3.1,0.0,0.0
6,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0,1.0
8,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,0.0
8,91.9,111.7,770.3,6.5,15.7,51.0,2.2,0.0,0.0
8,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,0.0
2,88.1,25.7,67.6,3.8,15.5,27.0,6.3,0.0,0.0
3,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
7,81.6,56.7,665.6,1.9,27.8,32.0,2.7,0.0,1.0
7,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0,1.0
7,90.7,194.1,643.0,6.8,21.3,41.0,3.6,0.0,0.0
8,90.1,82.9,735.7,6.2,12.9,74.0,4.9,0.0,0.0
7,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0,1.0
8,91.6,108.4,764.0,6.2,19.3,44.0,2.2,0.0,0.0
8,93.5,149.3,728.6,8.1,28.3,26.0,3.1,0.0,1.0
7,93.0,75.3,466.6,7.7,19.6,36.0,3.1,0.0,0.0
8,92.4,124.1,680.7,8.5,22.5,42.0,5.4,0.0,0.0
2,91.7,35.8,80.8,7.8,15.2,27.0,4.9,0.0,0.0
7,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,1.0
7,91.0,121.2,561.6,7.0,21.6,19.0,6.7,0.0,0.0
6,92.3,96.2,450.2,12.1,23.4,31.0,5.4,0.0,0.0
7,90.5,196.8,649.9,16.3,11.8,88.0,4.9,0.0,1.0
7,96.0,164.0,643.0,14.0,30.8,30.0,4.9,0.0,1.0
8,88.6,91.8,709.9,7.1,12.4,73.0,6.3,0.0,1.0
8,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0,0.0
7,94.5,139.4,689.1,20.0,28.9,29.0,4.9,0.0,1.0
8,91.0,129.5,692.6,7.0,13.1,63.0,5.4,0.0,0.0
2,91.7,35.8,80.8,7.8,17.4,25.0,4.9,0.0,0.0
7,81.6,56.7,665.6,1.9,27.8,35.0,2.7,0.0,0.0
8,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0,1.0
7,92.1,207.0,672.6,8.2,27.9,33.0,2.2,0.0,1.0
8,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0,1.0
7,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,1.0
9,90.6,35.4,669.1,6.7,18.0,33.0,0.9,0.0,0.0
8,94.3,85.1,692.3,15.9,19.8,50.0,5.4,0.0,0.0
7,94.5,139.4,689.1,20.0,29.2,30.0,4.9,0.0,1.0
8,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0,0.0
8,92.5,122.0,789.7,10.2,15.9,55.0,3.6,0.0,0.0
7,91.6,181.3,613.0,7.6,24.6,44.0,4.0,0.0,1.0
7,93.1,157.3,666.7,13.5,24.0,36.0,3.1,0.0,1.0
7,94.9,130.3,587.1,14.1,33.1,25.0,4.0,0.0,1.0
8,91.8,78.5,724.3,9.2,19.1,38.0,2.7,0.0,0.0
8,90.5,96.7,750.5,11.4,20.4,55.0,4.9,0.0,1.0
2,90.1,39.7,86.6,6.2,10.6,30.0,4.0,0.0,0.0
7,96.2,175.5,661.8,16.8,32.6,26.0,3.1,0.0,1.0
8,90.3,290.0,855.3,7.4,10.3,78.0,4.0,0.0,1.0
8,92.1,87.7,721.1,9.5,18.1,54.0,3.1,0.0,1.0
6,92.3,88.8,440.9,8.5,17.1,67.0,3.6,0.0,1.0
7,94.0,47.9,100.7,10.7,17.3,80.0,4.5,0.0,0.0
7,91.6,181.3,613.0,7.6,24.8,36.0,4.0,0.0,1.0
7,81.6,56.7,665.6,1.9,21.2,70.0,6.7,0.0,1.0
7,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
3,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,1.0
7,90.2,96.9,624.2,8.9,18.4,42.0,6.7,0.0,0.0
5,74.08434830450994,71.0,233.8,0.4,10.6,90.0,2.7,0.0,0.0
7,96.1,181.1,671.2,14.3,27.3,63.0,4.9,6.4,1.0
2,88.1,25.7,67.6,3.8,14.9,38.0,2.7,0.0,0.0
8,94.3,85.1,692.3,15.9,25.9,24.0,4.0,0.0,0.0
7,95.1,141.3,605.8,17.7,26.4,34.0,3.6,0.0,1.0
7,91.4,142.4,601.4,10.6,19.8,39.0,5.4,0.0,0.0
7,91.7,114.3,661.3,6.3,17.6,45.0,3.6,0.0,0.0
6,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0,1.0
7,94.8,222.4,698.6,13.9,20.3,42.0,2.7,0.0,0.0
7,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,0.0
8,92.9,137.0,706.4,9.2,22.1,34.0,1.8,0.0,1.0
7,90.2,99.6,631.2,6.3,19.2,44.0,2.7,0.0,1.0
2,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,1.0
3,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0,0.0
7,96.1,181.1,671.2,14.3,33.3,26.0,2.7,0.0,1.0
7,92.3,85.3,488.0,14.7,20.8,32.0,6.3,0.0,0.0
5,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,1.0
5,90.4,89.5,290.8,6.4,15.4,45.0,2.2,0.0,0.0
8,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0,0.0
8,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,1.0
2,87.6,52.2,103.8,5.0,9.0,49.0,2.2,0.0,0.0
2,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0.0,0.0
7,95.1,141.3,605.8,17.7,28.7,33.0,4.0,0.0,0.0
2,90.1,37.6,83.7,7.2,12.4,54.0,3.6,0.0,1.0
8,93.7,80.9,685.2,17.9,23.2,26.0,4.9,0.0,1.0
7,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,1.0
2,91.2,48.3,97.8,12.5,15.8,27.0,7.6,0.0,0.0
2,90.8,41.9,89.4,7.9,13.3,42.0,0.9,0.0,1.0
2,87.2,23.9,64.7,4.1,11.8,35.0,1.8,0.0,0.0
8,93.7,80.9,685.2,17.9,17.6,42.0,3.1,0.0,0.0
8,89.6,84.1,714.3,5.7,17.1,53.0,5.4,0.0,1.0
8,91.6,108.4,764.0,6.2,22.7,35.0,2.2,0.0,1.0
6,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0
7,91.0,163.2,744.4,10.1,26.7,35.0,1.8,0.0,1.0
9,91.4,37.9,673.8,5.2,20.2,37.0,2.7,0.0,1.0
8,90.9,126.5,686.5,7.0,21.9,39.0,1.8,0.0,1.0
2,93.4,17.3,28.3,9.9,13.8,24.0,5.8,0.0,0.0
7,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,1.0
7,94.4,146.0,614.7,11.3,25.6,42.0,4.0,0.0,0.0
5,93.0,103.8,316.7,10.8,26.4,35.0,2.7,0.0,1.0
7,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,0.0
7,90.2,96.9,624.2,8.9,14.2,53.0,1.8,0.0,1.0
8,91.2,134.7,817.5,7.2,18.5,30.0,2.7,0.0,0.0
0,82.1,3.7,9.3,2.9,5.3,78.0,3.1,0.0,0.0
2,91.4,30.7,74.3,7.5,18.2,29.0,3.1,0.0,0.0
6,93.2,114.4,560.0,9.5,30.2,25.0,4.5,0.0,1.0
9,90.6,43.7,686.9,6.7,18.4,25.0,3.1,0.0,1.0
7,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0
7,95.2,217.7,690.0,18.0,30.8,19.0,4.5,0.0,0.0
8,92.4,124.1,680.7,8.5,17.2,58.0,1.3,0.0,0.0
7,92.3,85.3,488.0,14.7,22.2,29.0,5.4,0.0,0.0
8,92.5,121.1,674.4,8.6,25.1,27.0,4.0,0.0,1.0
8,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,1.0
9,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0
2,93.4,15.0,25.6,11.4,15.2,19.0,7.6,0.0,0.0
6,91.9,133.6,520.5,8.0,14.2,58.0,4.0,0.0,0.0
7,92.1,152.6,658.2,14.3,21.8,56.0,3.1,0.0,1.0
7,92.3,88.9,495.6,8.5,24.1,27.0,3.1,0.0,0.0
2,87.2,15.1,36.9,7.1,10.2,45.0,5.8,0.0,1.0
7,96.1,181.1,671.2,14.3,20.7,69.0,4.9,0.4,0.0
8,88.1,53.3,726.9,5.4,13.7,56.0,1.8,0.0,1.0
11,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0,1.0
8,74.08434830450994,70.8,665.3,0.8,22.6,38.0,3.6,0.0,1.0
2,90.2,18.5,41.1,7.3,11.2,41.0,5.4,0.0,1.0
7,91.6,248.4,753.8,6.3,16.6,59.0,2.7,0.0,0.0
8,92.1,99.0,745.3,9.6,19.8,47.0,2.7,0.0,1.0
7,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
6,91.6,104.2,474.9,9.0,24.2,32.0,1.8,0.0,0.0
7,95.2,131.7,578.8,10.4,20.7,45.0,2.2,0.0,1.0
10,79.5,3.0,106.7,1.1,11.8,31.0,4.5,0.0,0.0
8,92.9,133.3,699.6,9.2,21.9,35.0,1.8,0.0,1.0
7,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0,1.0
2,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,0.0
7,93.5,139.4,594.2,20.3,17.6,52.0,5.8,0.0,0.0
8,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,1.0
7,92.2,81.8,480.8,11.9,16.4,43.0,4.0,0.0,1.0
8,89.6,84.1,714.3,5.7,23.8,35.0,3.6,0.0,1.0
8,92.1,99.0,745.3,9.6,15.4,53.0,6.3,0.0,1.0
8,88.2,55.2,732.3,11.6,15.2,64.0,3.1,0.0,1.0
6,91.2,183.1,437.7,12.5,12.6,90.0,7.6,0.2,0.0
7,92.0,203.2,664.5,8.1,19.1,70.0,2.2,0.0,0.0
8,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,1.0
6,91.6,104.2,474.9,9.0,24.3,30.0,1.8,0.0,0.0
7,91.1,103.2,638.8,5.8,23.4,22.0,2.7,0.0,0.0
8,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,1.0
8,92.4,105.8,758.1,9.9,24.9,27.0,2.2,0.0,0.0
9,90.6,43.7,686.9,6.7,17.8,27.0,4.0,0.0,0.0
1,84.1,7.3,52.8,2.7,14.7,42.0,2.7,0.0,0.0
8,84.4,73.4,671.9,3.2,24.2,28.0,3.6,0.0,1.0
2,85.9,19.5,57.3,2.8,13.7,43.0,5.8,0.0,0.0
7,94.9,130.3,587.1,14.1,23.4,40.0,5.8,0.0,1.0
7,94.9,130.3,587.1,14.1,31.0,27.0,5.4,0.0,0.0
7,95.9,158.0,633.6,11.3,27.5,29.0,4.5,0.0,1.0
8,93.4,145.4,721.4,8.1,28.6,27.0,2.2,0.0,1.0
7,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0
7,92.1,152.6,658.2,14.3,21.0,32.0,3.1,0.0,0.0
8,90.7,136.9,822.8,6.8,12.9,39.0,2.7,0.0,1.0
7,96.2,175.5,661.8,16.8,23.9,42.0,2.2,0.0,0.0
7,95.2,131.7,578.8,10.4,20.3,41.0,4.0,0.0,1.0
7,93.6,235.1,723.1,10.1,20.9,66.0,4.9,0.0,1.0
7,91.6,248.4,753.8,6.3,20.5,58.0,2.7,0.0,1.0
8,92.5,122.0,789.7,10.2,17.3,45.0,4.0,0.0,1.0
7,95.8,152.0,624.1,13.8,32.4,21.0,4.5,0.0,0.0
8,91.5,130.1,807.1,7.5,15.9,51.0,4.5,0.0,1.0
7,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0,0.0
8,92.6,115.4,777.1,8.8,19.7,41.0,1.8,0.0,1.0
7,95.1,141.3,605.8,17.7,19.4,71.0,7.6,0.0,1.0
7,91.6,273.8,819.1,7.7,15.5,72.0,8.0,0.0,1.0
8,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0,1.0
8,91.8,78.5,724.3,9.2,18.9,35.0,2.7,0.0,0.0
7,94.8,108.3,647.1,17.0,18.6,51.0,4.5,0.0,0.0
8,90.9,126.5,686.5,7.0,21.0,42.0,2.2,0.0,1.0
6,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0,0.0
1,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0,0.0
8,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0,1.0
7,95.2,131.7,578.8,10.4,24.2,28.0,2.7,0.0,1.0
7,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,1.0
2,86.2,26.2,94.3,5.1,8.2,51.0,6.7,0.0,0.0
7,91.6,273.8,819.1,7.7,21.3,44.0,4.5,0.0,1.0
8,88.6,91.8,709.9,7.1,11.2,78.0,7.6,0.0,0.0
6,91.6,100.2,466.3,6.3,22.9,40.0,1.3,0.0,1.0
