month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
8,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,1.0
7,91.5,145.4,608.2,10.7,10.3,74.0,2.2,0.0,0.0
8,91.9,111.7,770.3,6.5,21.1,35.0,2.7,0.0,1.0
8,87.9,84.8,725.1,3.7,21.8,34.0,2.2,0.0,1.0
7,91.4,142.4,601.4,10.6,18.2,43.0,4.9,0.0,0.0
7,90.1,108.0,529.8,12.5,14.7,66.0,2.7,0.0,0.0
5,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0.0,1.0
7,92.1,178.0,605.3,9.6,23.3,40.0,4.0,0.0,1.0
7,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,1.0
5,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,0.0
8,92.4,117.9,668.0,12.2,19.6,33.0,5.4,0.0,0.0
1,86.6,13.2,43.0,5.3,15.7,43.0,3.1,0.0,0.0
7,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0,0.0
9,91.4,37.9,673.8,5.2,15.9,46.0,3.6,0.0,0.0
7,91.7,191.4,635.9,7.8,19.9,50.0,4.0,0.0,1.0
5,88.2,96.2,229.0,4.7,14.3,79.0,4.0,0.0,1.0
1,86.6,13.2,43.0,5.3,12.3,51.0,0.9,0.0,0.0
6,93.7,101.3,458.8,11.9,19.3,39.0,7.2,0.0,1.0
7,94.8,108.3,647.1,17.0,16.6,54.0,5.4,0.0,0.0
7,94.8,108.3,647.1,17.0,20.1,40.0,4.0,0.0,0.0
8,92.4,105.8,758.1,9.9,25.3,27.0,2.7,0.0,0.0
8,90.9,126.5,686.5,7.0,14.7,70.0,3.6,0.0,0.0
7,96.1,181.1,671.2,14.3,21.6,65.0,4.9,0.8,0.0
7,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0,1.0
8,91.2,124.4,795.3,8.5,21.5,28.0,4.5,0.0,1.0
7,91.6,181.3,613.0,7.6,20.9,50.0,2.2,0.0,1.0
8,91.7,75.6,718.3,7.8,17.7,39.0,3.6,0.0,0.0
5,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
9,91.7,48.5,696.1,11.1,16.1,44.0,4.0,0.0,1.0
8,92.9,137.0,706.4,9.2,25.4,27.0,2.2,0.0,0.0
8,92.5,122.0,789.7,10.2,19.7,39.0,2.7,0.0,0.0
7,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0.0,1.0
7,92.1,207.0,672.6,8.2,21.1,54.0,2.2,0.0,0.0
6,94.2,62.3,442.9,11.0,23.0,36.0,3.1,0.0,0.0
8,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0.0,1.0
8,93.4,145.4,721.4,8.1,29.6,27.0,2.7,0.0,1.0
7,92.1,207.0,672.6,8.2,25.5,29.0,1.8,0.0,1.0
7,91.0,166.9,752.6,7.1,21.1,71.0,7.6,1.4,1.0
8,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,0.0
8,92.2,102.3,751.5,8.4,23.5,27.0,4.0,0.0,1.0
8,87.1,291.3,860.6,4.0,17.0,67.0,4.9,0.0,1.0
7,91.7,114.3,661.3,6.3,20.2,45.0,3.6,0.0,0.0
8,92.5,88.0,698.6,7.1,19.6,48.0,2.7,0.0,0.0
8,91.2,94.3,744.4,8.4,15.4,57.0,4.9,0.0,1.0
2,91.7,33.3,77.5,9.0,18.8,18.0,4.5,0.0,0.0
7,92.0,203.2,664.5,8.1,10.4,75.0,0.9,0.0,0.0
7,90.2,96.9,624.2,8.9,14.7,59.0,5.8,0.0,0.0
8,90.3,80.7,730.2,6.3,18.2,62.0,4.5,0.0,0.0
8,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0,1.0
8,91.9,111.7,770.3,6.5,15.9,53.0,2.2,0.0,1.0
7,93.0,75.3,466.6,7.7,18.8,35.0,4.9,0.0,0.0
2,90.1,39.7,86.6,6.2,13.2,40.0,5.4,0.0,1.0
2,87.6,52.2,103.8,5.0,8.3,72.0,3.1,0.0,0.0
2,87.2,23.9,64.7,4.1,14.0,39.0,3.1,0.0,0.0
7,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,1.0
7,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,0.0
7,91.4,142.4,601.4,10.6,16.3,60.0,5.4,0.0,0.0
8,92.6,115.4,777.1,8.8,24.3,27.0,4.9,0.0,0.0
8,92.9,137.0,706.4,9.2,20.8,17.0,1.3,0.0,0.0
1,75.1,4.4,16.2,1.9,5.1,77.0,5.4,0.0,1.0
8,84.4,73.4,671.9,3.2,17.9,45.0,3.1,0.0,0.0
8,93.4,145.4,721.4,8.1,30.2,24.0,2.7,0.0,0.0
1,84.7,8.2,55.0,2.9,14.2,46.0,4.0,0.0,0.0
8,90.9,126.5,686.5,7.0,19.4,48.0,1.3,0.0,0.0
8,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,1.0
8,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0,1.0
7,94.6,212.1,680.9,9.5,27.9,27.0,2.2,0.0,0.0
8,88.6,69.7,706.8,5.8,20.6,37.0,1.8,0.0,0.0
7,95.2,217.7,690.0,18.0,23.4,49.0,5.4,0.0,1.0
7,74.08434830450994,70.8,665.3,0.8,17.0,72.0,6.7,0.0,0.0
8,91.0,129.5,692.6,7.0,17.6,46.0,3.1,0.0,1.0
6,85.8,48.3,313.4,3.9,18.0,42.0,2.7,0.0,1.0
8,93.7,80.9,685.2,17.9,23.7,25.0,4.5,0.0,1.0
7,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0,1.0
4,89.6,25.4,73.7,5.7,18.0,40.0,4.0,0.0,1.0
7,90.2,96.9,624.2,8.9,20.3,39.0,4.9,0.0,1.0
9,92.6,46.5,691.8,8.8,13.8,50.0,2.7,0.0,0.0
8,91.8,78.5,724.3,9.2,21.2,32.0,2.7,0.0,0.0
7,91.5,145.4,608.2,10.7,17.1,43.0,5.4,0.0,0.0
7,93.7,102.2,550.3,14.6,22.1,54.0,7.6,0.0,1.0
11,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0,1.0
1,74.08434830450994,21.5,87.2,0.8,15.4,40.0,2.7,0.0,0.0
8,91.1,91.3,738.1,7.2,20.7,46.0,2.7,0.0,1.0
1,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0.0,1.0
8,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0,1.0
7,91.6,248.4,753.8,6.3,16.8,56.0,3.1,0.0,0.0
2,90.1,39.7,86.6,6.2,15.2,27.0,3.1,0.0,1.0
7,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,1.0
7,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0,1.0
9,90.6,43.7,686.9,6.7,14.6,33.0,1.3,0.0,0.0
7,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0.0,1.0
8,90.1,82.9,735.7,6.2,15.4,57.0,4.5,0.0,1.0
1,86.8,15.6,48.3,3.9,12.4,53.0,2.2,0.0,1.0
8,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,1.0
8,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0,1.0
7,92.1,152.6,658.2,14.3,20.1,58.0,4.5,0.0,1.0
7,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,1.0
1,84.7,9.5,58.3,4.1,7.5,71.0,6.3,0.0,1.0
8,91.5,130.1,807.1,7.5,12.2,66.0,4.9,0.0,1.0
6,79.5,60.6,366.7,1.5,23.3,37.0,3.1,0.0,0.0
8,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,1.0
11,85.4,25.4,349.7,2.6,5.1,24.0,8.5,0.0,1.0
8,91.6,108.4,764.0,6.2,19.3,44.0,2.2,0.0,1.0
7,91.0,166.9,752.6,7.1,18.2,62.0,5.4,0.0,1.0
1,85.0,9.0,56.9,3.5,10.1,62.0,1.8,0.0,1.0
2,85.9,19.5,57.3,2.8,12.7,52.0,6.3,0.0,0.0
8,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,1.0
7,96.1,181.1,671.2,14.3,21.6,65.0,4.9,0.8,0.0
8,91.1,88.2,731.7,8.3,22.8,46.0,4.0,0.0,1.0
8,92.1,99.0,745.3,9.6,17.4,57.0,4.5,0.0,0.0
7,91.6,138.1,621.7,6.3,18.9,41.0,3.1,0.0,1.0
6,93.2,114.4,560.0,9.5,30.2,22.0,4.9,0.0,0.0
2,89.2,27.9,70.8,6.3,15.9,35.0,4.0,0.0,0.0
8,91.6,108.4,764.0,6.2,23.0,34.0,2.2,0.0,1.0
7,91.4,142.4,601.4,10.6,19.6,41.0,5.8,0.0,1.0
8,91.5,130.1,807.1,7.5,16.8,43.0,3.1,0.0,1.0
2,74.08434830450994,2.4,15.5,0.7,17.4,24.0,5.4,0.0,0.0
8,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0,0.0
8,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,1.0
8,91.9,111.7,770.3,6.5,19.6,45.0,3.1,0.0,1.0
8,92.4,117.9,668.0,12.2,23.0,37.0,4.5,0.0,0.0
5,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
7,90.7,194.1,643.0,6.8,16.2,63.0,2.7,0.0,1.0
7,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0,0.0
11,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,1.0
8,94.3,85.1,692.3,15.9,17.7,37.0,3.6,0.0,0.0
2,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0,1.0
8,92.5,122.0,789.7,10.2,21.1,39.0,2.2,0.0,1.0
8,90.5,96.7,750.5,11.4,20.6,55.0,5.4,0.0,1.0
8,92.1,99.0,745.3,9.6,20.6,43.0,3.6,0.0,1.0
2,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
8,92.5,122.0,789.7,10.2,18.4,42.0,2.2,0.0,1.0
7,94.2,117.2,581.1,11.0,21.4,44.0,2.7,0.0,1.0
7,91.4,142.4,601.4,10.6,19.8,39.0,5.4,0.0,0.0
5,90.4,93.3,298.1,7.5,19.1,39.0,5.4,0.0,1.0
9,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0.0,1.0
2,90.6,50.1,100.4,7.8,15.1,64.0,4.0,0.0,1.0
7,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,1.0
7,92.1,111.2,654.1,9.6,18.4,45.0,3.6,0.0,1.0
7,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0,1.0
8,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,1.0
3,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0.0,1.0
7,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0,0.0
1,75.1,4.4,16.2,1.9,4.6,82.0,6.3,0.0,1.0
2,91.7,33.3,77.5,9.0,15.6,25.0,6.3,0.0,0.0
7,90.2,99.6,631.2,6.3,21.5,34.0,2.2,0.0,0.0
1,84.2,6.8,26.6,7.7,6.7,79.0,3.1,0.0,0.0
6,88.3,150.3,309.9,6.8,13.4,79.0,3.6,0.0,1.0
5,90.5,61.1,252.6,9.4,24.5,50.0,3.1,0.0,1.0
8,91.2,94.3,744.4,8.4,22.3,48.0,4.0,0.0,1.0
7,91.6,181.3,613.0,7.6,24.3,33.0,3.6,0.0,1.0
8,91.1,132.3,812.1,12.5,15.9,38.0,5.4,0.0,1.0
6,90.7,80.9,368.3,16.8,14.8,78.0,8.0,0.0,0.0
8,92.8,119.0,783.5,7.5,16.8,28.0,4.0,0.0,1.0
8,91.0,129.5,692.6,7.0,20.7,37.0,2.2,0.0,1.0
2,89.3,51.3,102.2,9.6,11.4,93.24060887867675,1.8,0.0,0.0
7,94.8,222.4,698.6,13.9,27.5,27.0,4.9,0.0,1.0
7,92.1,111.2,654.1,9.6,20.4,42.0,4.9,0.0,0.0
1,79.5,3.6,15.3,1.8,4.6,59.0,0.9,0.0,1.0
8,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0,1.0
2,90.9,18.9,30.6,8.0,11.6,48.0,5.4,0.0,0.0
7,90.2,110.9,537.4,6.2,19.5,43.0,5.8,0.0,0.0
8,90.9,126.5,686.5,7.0,15.6,66.0,3.1,0.0,0.0
8,92.5,88.0,698.6,7.1,22.8,40.0,4.0,0.0,0.0
7,93.6,235.1,723.1,10.1,24.1,50.0,4.0,0.0,0.0
7,91.7,114.3,661.3,6.3,18.6,44.0,4.5,0.0,0.0
8,92.5,121.1,674.4,8.6,24.1,29.0,4.5,0.0,0.0
7,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,1.0
6,93.7,101.3,423.4,14.7,18.2,82.0,4.5,0.0,1.0
8,90.9,126.5,686.5,7.0,17.7,39.0,2.2,0.0,1.0
2,91.7,35.8,80.8,7.8,17.4,24.0,5.4,0.0,0.0
2,91.3,20.6,43.5,8.5,13.3,27.0,3.6,0.0,1.0
8,89.7,284.9,844.0,10.1,10.5,77.0,4.0,0.0,0.0
7,92.2,81.8,480.8,11.9,20.1,34.0,4.5,0.0,1.0
8,90.3,80.7,730.2,6.3,17.8,63.0,4.9,0.0,0.0
8,74.08434830450994,46.2,706.6,0.4,12.2,78.0,6.3,0.0,0.0
7,92.1,152.6,658.2,14.3,20.2,47.0,4.0,0.0,1.0
7,91.4,142.4,601.4,10.6,11.6,87.0,4.5,0.0,0.0
7,91.8,170.9,692.3,13.7,20.6,59.0,0.9,0.0,0.0
7,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0,1.0
1,83.9,8.7,32.1,2.1,8.8,68.0,2.2,0.0,1.0
7,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0,0.0
6,88.9,263.1,795.9,5.2,29.3,27.0,3.6,0.0,1.0
6,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0,0.0
5,92.5,56.4,433.3,7.1,23.2,39.0,5.4,0.0,1.0
8,91.0,129.5,692.6,7.0,18.3,40.0,2.7,0.0,0.0
2,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.0
5,91.2,147.8,377.2,12.7,19.6,43.0,4.9,0.0,0.0
7,93.7,231.1,715.1,8.4,25.9,32.0,3.1,0.0,0.0
9,84.9,32.8,664.2,3.0,19.1,32.0,4.0,0.0,1.0
7,90.2,99.6,631.2,6.3,17.9,44.0,2.2,0.0,0.0
8,92.8,119.0,783.5,7.5,18.9,34.0,7.2,0.0,1.0
3,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
3,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
8,91.2,94.3,744.4,8.4,16.8,47.0,4.9,0.0,1.0
1,85.2,4.9,15.8,6.3,7.5,46.0,8.0,0.0,1.0
7,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0,1.0
7,94.3,131.7,607.1,22.7,19.4,55.0,4.0,0.0,1.0
8,89.6,84.1,714.3,5.7,19.0,52.0,2.2,0.0,0.0
2,91.7,33.3,77.5,9.0,8.3,93.24060887867675,4.0,0.2,0.0
7,92.0,203.2,664.5,8.1,24.9,42.0,5.4,0.0,1.0
8,94.3,85.1,692.3,15.9,25.4,24.0,3.6,0.0,0.0
7,90.2,99.6,631.2,6.3,20.8,33.0,2.7,0.0,0.0
7,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0.0,0.0
9,84.9,32.8,664.2,3.0,16.7,47.0,4.9,0.0,0.0
5,90.4,93.3,298.1,7.5,20.7,25.0,4.9,0.0,0.0
11,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
6,92.7,164.1,575.8,8.9,26.3,39.0,3.1,0.0,1.0
8,93.3,141.2,713.9,13.9,27.6,30.0,1.3,0.0,0.0
8,93.3,141.2,713.9,13.9,22.9,44.0,5.4,0.0,0.0
2,89.3,51.3,102.2,9.6,10.6,46.0,4.9,0.0,0.0
2,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
6,93.7,101.3,423.4,14.7,26.1,45.0,4.0,0.0,1.0
7,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0
2,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0.0,0.0
8,92.8,119.0,783.5,7.5,16.8,28.0,4.0,0.0,1.0
1,84.0,9.3,34.0,2.1,13.9,40.0,5.4,0.0,0.0
8,92.8,73.2,713.0,22.6,19.3,38.0,4.0,0.0,0.0
11,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
7,93.7,231.1,715.1,8.4,23.6,53.0,4.0,0.0,1.0
8,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0.0,1.0
9,92.6,46.5,691.8,8.8,15.4,35.0,0.9,0.0,0.0
7,90.6,269.8,811.2,5.5,22.2,45.0,3.6,0.0,0.0
7,95.2,217.7,690.0,18.0,28.2,29.0,1.8,0.0,1.0
2,91.2,48.3,97.8,12.5,11.7,33.0,4.0,0.0,1.0
7,93.7,231.1,715.1,8.4,26.4,33.0,3.6,0.0,0.0
8,91.6,108.4,764.0,6.2,20.4,41.0,1.8,0.0,1.0
2,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,1.0
2,88.1,25.7,67.6,3.8,14.1,43.0,2.7,0.0,0.0
7,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
8,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,1.0
8,91.1,91.3,738.1,7.2,19.1,46.0,2.2,0.0,1.0
8,91.5,130.1,807.1,7.5,20.6,37.0,1.8,0.0,0.0
2,84.9,18.2,55.0,3.0,5.3,70.0,4.5,0.0,1.0
2,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,1.0
7,88.8,147.3,614.5,9.0,17.3,43.0,4.5,0.0,0.0
2,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,1.0
8,91.0,129.5,692.6,7.0,13.9,59.0,6.3,0.0,1.0
8,91.6,108.4,764.0,6.2,18.0,51.0,5.4,0.0,0.0
11,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
7,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0,0.0
7,94.8,108.3,647.1,17.0,24.6,22.0,4.5,0.0,1.0
2,93.4,17.3,28.3,9.9,8.9,35.0,8.0,0.0,0.0
8,91.6,108.4,764.0,6.2,9.8,86.0,1.8,0.0,0.0
8,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0.0,0.0
6,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0,1.0
7,96.1,181.1,671.2,14.3,32.3,27.0,2.2,0.0,1.0
8,92.4,96.2,739.4,8.6,19.2,24.0,4.9,0.0,1.0
8,92.1,99.0,745.3,9.6,18.7,50.0,2.2,0.0,1.0
8,92.8,119.0,783.5,7.5,21.6,28.0,6.3,0.0,1.0
8,91.0,276.3,825.1,7.1,21.9,43.0,4.0,0.0,1.0
2,91.7,35.8,80.8,7.8,15.1,27.0,5.4,0.0,0.0
1,83.9,8.0,30.2,2.6,12.7,48.0,1.8,0.0,0.0
8,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0.0,1.0
8,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0,0.0
8,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0,1.0
7,93.9,135.7,586.7,15.1,20.8,34.0,4.9,0.0,1.0
11,84.0,27.8,354.6,5.3,5.1,61.0,8.0,0.0,1.0
8,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,0.0
7,93.5,139.4,594.2,20.3,5.1,93.24060887867675,5.8,0.0,1.0
7,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0,1.0
